unit_id,pl,topik_number,topik_title,bahagian_number,bahagian_title,unit_scope,source_document,source_page_range,source_reference,source_authority_class,source_attests,controlled_content_available,existing_id_input_available,storyboard_input_available,source_rows_count,source_figures_count,source_tables_count,source_assets_count,rumusan_available,quiz_mcq_available,quiz_mr_available,interaction_requirement,interaction_pattern_candidate,visual_requirement,narration_requirement,terminology_risks,standards_or_external_claims,open_human_decisions,generator_support_status,qa_support_status,lane,readiness_status,blocker_reason,blocking_conditions,recommended_execution_order
K5-PL06-T03-B02,PL06,3,Komponen Landskap,2,Struktur Taman dan Perabot Taman,DELIVERED_BASELINE,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 237-250 / rendered PDF 255-268,"F2 — frozen boundary map, K5-PL06-T03-B02: start anchor '3.3 Struktur Taman', stop before '3.5 Infrastruktur', DOCX paragraph 4631 to before 4704",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,FULL_UNIT_CONTENT,true,true,true,26,4,10,14,true,true,true,REQUIRED,FAMILY_S / FAMILY_P1 / FAMILY_P2 (B02-specific taxonomy),"REQUIRED — source-bound overview, 9/9 mapped","A3 shell grammar, three spoken S01 blocks, screen-level VO only",PL06 pronunciation precedence RESERVED_NOT_ACTIVE; 'BBQ pit' lowercase source form measured,"MS2680 cited in source, verification open",MS2680; B02-CAIR-INT-001; OD-10 / L-01 LMS navigation,FULLY_SUPPORTED,"FULLY_SUPPORTED — 461 gate records, 51 mutation fixtures",LANE_A_EXISTING_SUPPORTED_PATTERN,READY_WITH_HOLDS,"Delivered and call-approved. Holds are source-authority only and none blocks this unit's review candidacy: MS2680, B02-CAIR-INT-001, and the LMS navigation ruling. Microsoft PowerPoint smoke is not recorded.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,0
K5-PL06-T04-B01,PL06,4,Penjagaan dan Penyelenggaraan,1,Penjagaan dan Penyelenggaraan,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 276-283 / rendered PDF 294-301,"F2 — frozen boundary map, K5-PL06-T04-B01: start anchor '4.0 PENJAAGAAN DAN PENYELENGGARAAN (body typo; canonical title from TOC)', stop before '5.0 PENGURUSAN KUALITI PROJEK', DOCX paragraph 5220 to before 5360",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Page boundary is clean.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,1
K5-PL06-T01-B01,PL06,1,Proses Memula Kerja,1,Proses Memula Kerja - Penyediaan Tapak,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 162-181 / rendered PDF 180-199,"F2 — frozen boundary map, K5-PL06-T01-B01: start anchor '1.0 PROSES MEMULA KERJA', stop before '1.2 Jadual Kerja', DOCX paragraph 3375 to before 3743",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: end page 181 shared with the next lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,2
K5-PL06-T01-B02,PL06,1,Proses Memula Kerja,2,Jadual Kerja dan Perlaksanaan Pembinaan Landskap,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 181-188 / rendered PDF 199-206,"F2 — frozen boundary map, K5-PL06-T01-B02: start anchor '1.2 Jadual Kerja', stop before '1.4 Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap', DOCX paragraph 3743 to before 3887",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: start page 181 shared with the preceding lesson; end page 188 shared with the next lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,3
K5-PL06-T01-B03,PL06,1,Proses Memula Kerja,3,Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 188-200 / rendered PDF 206-218,"F2 — frozen boundary map, K5-PL06-T01-B03: start anchor '1.4 Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap', stop before '2.0 ELEMEN PEMBINAAN LANDSKAP', DOCX paragraph 3887 to before 4085",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: start page 188 shared with the preceding lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,4
K5-PL06-T02-B01,PL06,2,Elemen Pembinaan Landskap,1,Elemen Landskap Kejur dan Elemen Landskap Lembut/Penanaman,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 201-215 / rendered PDF 219-233,"F2 — frozen boundary map, K5-PL06-T02-B01: start anchor '2.0 ELEMEN PEMBINAAN LANDSKAP', stop before '2.3 Kerja-Kerja berkaitan dengan Mekanikal & Elektrikal (M&E)', DOCX paragraph 4085 to before 4340",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: end page 215 shared with the next lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,5
K5-PL06-T02-B02,PL06,2,Elemen Pembinaan Landskap,2,Kerja-Kerja Berkaitan dengan Mekanikal & Elektrikal (M&E),REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 215-225 / rendered PDF 233-243,"F2 — frozen boundary map, K5-PL06-T02-B02: start anchor '2.3 Kerja-Kerja berkaitan dengan Mekanikal & Elektrikal (M&E)', stop before '3.0 KOMPONEN LANDSKAP', DOCX paragraph 4340 to before 4463",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: start page 215 shared with the preceding lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,6
K5-PL06-T03-B01,PL06,3,Komponen Landskap,1,Kawasan Berturap dan Gelanggang Sukan & Permainan,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 226-237 / rendered PDF 244-255,"F2 — frozen boundary map, K5-PL06-T03-B01: start anchor '3.0 KOMPONEN LANDSKAP', stop before '3.3 Struktur Taman', DOCX paragraph 4463 to before 4631",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: end page 237 shared with the next lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,7
K5-PL06-T03-B03,PL06,3,Komponen Landskap,3,Infrastruktur,REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 250-255 / rendered PDF 268-273,"F2 — frozen boundary map, K5-PL06-T03-B03: start anchor '3.5 Infrastruktur', stop before '3.6 Badan Air (Water Body)', DOCX paragraph 4704 to before 4815",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: start page 250 shared with the preceding lesson; end page 255 shared with the next lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,8
K5-PL06-T03-B04,PL06,3,Komponen Landskap,4,Badan Air (Water Body),REMAINING,[PROOFREAD FINAL] SKP 2025 PEMBINAAN LANDSKAP LUAR 300426.docx,modul ms 255-261 / rendered PDF 273-279,"F2 — frozen boundary map, K5-PL06-T03-B04: start anchor '3.6 Badan Air (Water Body)', stop before '3.7 Pencahayaan / Lighting', DOCX paragraph 4815 to before 4951",DOCX_BODY_HEADINGS_PLUS_REFERENCED_LESSON_GROUPING,UNIT_BOUNDARY_AND_PAGE_RANGE,false,false,false,,,,,false,false,false,UNKNOWN,NOT_DETERMINABLE_WITHOUT_CONTENT_EXTRACTION,UNKNOWN,PL06_SHELL_GRAMMAR_APPLIES (A3) — content unknown,PL06 pronunciation precedence unratified; the English-term italics list is B02-derived and must be re-derived per unit,UNKNOWN — content not read,CAST_BINDING_PL06_SCOPE,SHELL_SUPPORTED_CONTENT_UNSUPPORTED,SHELL_GATES_REUSABLE_CONTENT_GATES_ABSENT,LANE_D_SOURCE_INCOMPLETE,SOURCE_INCOMPLETE,"Source document and unit boundary are now in custody by identity — that is what Stage 4.2F-A2 closed. What remains is that the CONTENT has not been extracted: no controlled content, no visual inventory, no Rumusan and no quiz source for this unit. Boundary needs heading-anchor extraction, not page slicing: start page 255 shared with the preceding lesson.",CONTROLLED_CONTENT_NOT_EXTRACTED; NO_RUMUSAN_SOURCE; NO_QUIZ_SOURCE; VISUAL_INVENTORY_NOT_EXTRACTED; CAST_BINDING_UNRESOLVED,9
