visual_obligation_id,bariah_ruling_locator,source_row_ids,raw_source_heading,governed_display_heading,learner_facing_subject,visual_purpose,proposed_visual_class,existing_source_asset_available,source_asset_id,production_requirement,source_authority,treatment_authority,subject_authority,mmd_dependency,approval_status,unresolved_issue
T04-VO-001,BR-L1,T04-ROW-003,Koordinasi dan Demonstrasi Penyelenggaraan Taman,Koordinasi dan Demonstrasi Penyelenggaraan Taman,A supervisor briefing and demonstrating a maintenance task to a work crew on site,"Show that the first activity is instruction and demonstration, not the work itself.",PROCEDURAL_ILLUSTRATION,SOURCE_SMARTART_NODE_LABEL_ONLY,T04-DGM-01,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-002,BR-L1,T04-ROW-003,Penyeliaan Penyelenggaraan Taman,Penyeliaan Penyelenggaraan Taman,A supervisor observing and checking garden maintenance work in progress,Distinguish supervision of maintenance from performing maintenance.,EQUIPMENT_OR_ACTIVITY_VISUAL,SOURCE_SMARTART_NODE_LABEL_ONLY,T04-DGM-01,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-003,BR-L1,T04-ROW-003,Penyeliaan Operasi Nurseri,Penyeliaan Operasi Nurseri,"Nursery operations — seedling beds, potting and plant holding areas under supervision","Make the nursery visible as a distinct place of work, not an abstraction.",EQUIPMENT_OR_ACTIVITY_VISUAL,SOURCE_SMARTART_NODE_LABEL_ONLY,T04-DGM-01,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-004,BR-L1,T04-ROW-003,Penyeliaan Alatan dan Mesin Penyelenggaraan Taman,Penyeliaan Alatan dan Mesin Penyelenggaraan Taman,Maintenance tools and machinery being checked and accounted for,Anchor tool and machine supervision to physical objects the learner recognises.,EQUIPMENT_OR_ACTIVITY_VISUAL,SOURCE_SMARTART_NODE_LABEL_ONLY,T04-DGM-01,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-005,BR-L1,T04-ROW-003,Penyeliaan Inventori Taman,Penyeliaan Inventori Taman,"Garden inventory being recorded — stock, plants and materials counted against a list",Show inventory supervision as a recording activity with an artefact.,EQUIPMENT_OR_ACTIVITY_VISUAL,SOURCE_SMARTART_NODE_LABEL_ONLY,T04-DGM-01,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-006,BR-L1,T04-ROW-003,Perancangan Sumber Manusia dan Kebajikan Pekerja,Perancangan Sumber Manusia dan Kebajikan Pekerja,Workforce planning and worker welfare — shift or duty allocation and welfare provision,Give the least concrete of the six steps something the learner can picture.,CONCEPTUAL_DIAGRAM,SOURCE_SMARTART_NODE_LABEL_ONLY,T04-DGM-01,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-007,BR-L2,T04-ROW-004;T04-ROW-005,Landskap Lembut,Landskap Lembut,"The living elements the source names as soft landscape — trees, palms, shrubs and ground cover shown together as one category",Establish the category before its three maintenance operations are taught.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-008,BR-L3,T04-ROW-006;T04-ROW-007,Siram,Siram,"Watering in progress, supplying water to plants at the root zone",Give the operation a concrete image before its methods are broken down.,EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-009,BR-L4,T04-ROW-008,Kaedah Pelaksanaan,Kaedah Pelaksanaan,The two implementation routes the source names — manual watering beside automatic irrigation,Frame the methods as a choice before either is described.,COMPARISON_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-010,BR-L4,T04-ROW-009;T04-ROW-010,Penyiraman Manual,Penyiraman Manual,A rubber hose with a spray nozzle in use,Show the equipment the source names for manual watering.,EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
