obligation_id,source_row_ids,source_heading,visual_subject,requirement_authority,population_derivation_authority,subject_authority,closure_outcome,proposed_learner_screen_id,proposed_runtime_state_id,proposed_asset_group_id,unique_asset_candidate_id,composite_or_individual,reuse_policy,screens_or_states_served,visual_class,complexity_tier,production_complexity,mmd_dependency,approval_status,rationale
T04-VO-001,T04-ROW-003,Koordinasi dan Demonstrasi Penyelenggaraan Taman,A supervisor briefing and demonstrating a maintenance task to a work crew on site,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S03,ST-01,AG-01,UA-01-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S03/ST-01,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"One step visual per node, revealed as the learner steps the flow. Node identity and order are D-05 invariants."
T04-VO-002,T04-ROW-003,Penyeliaan Penyelenggaraan Taman,A supervisor observing and checking garden maintenance work in progress,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S03,ST-02,AG-01,UA-01-02,INDIVIDUAL,NOT_YET_ASSESSED,T04-S03/ST-02,EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-001.
T04-VO-003,T04-ROW-003,Penyeliaan Operasi Nurseri,"Nursery operations — seedling beds, potting and plant holding areas under supervision",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S03,ST-03,AG-01,UA-01-03,INDIVIDUAL,NOT_YET_ASSESSED,T04-S03/ST-03,EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-001.
T04-VO-004,T04-ROW-003,Penyeliaan Alatan dan Mesin Penyelenggaraan Taman,Maintenance tools and machinery being checked and accounted for,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S03,ST-04,AG-01,UA-01-04,INDIVIDUAL,NOT_YET_ASSESSED,T04-S03/ST-04,EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-001.
T04-VO-005,T04-ROW-003,Penyeliaan Inventori Taman,"Garden inventory being recorded — stock, plants and materials counted against a list",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S03,ST-05,AG-01,UA-01-05,INDIVIDUAL,NOT_YET_ASSESSED,T04-S03/ST-05,EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-001.
T04-VO-006,T04-ROW-003,Perancangan Sumber Manusia dan Kebajikan Pekerja,Workforce planning and worker welfare — shift or duty allocation and welfare provision,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S03,ST-06,AG-01,UA-01-06,INDIVIDUAL,NOT_YET_ASSESSED,T04-S03/ST-06,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,The least concrete of the six; a simple diagram rather than an activity illustration.
T04-VO-007,T04-ROW-004;T04-ROW-005,Landskap Lembut,"The living elements the source names as soft landscape — trees, palms, shrubs and ground cover shown together as one category",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S04,,AG-02,UA-02-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S04 (base),CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,The category-establishing visual and the screen's persistent main visual.
T04-VO-008,T04-ROW-006;T04-ROW-007,Siram,"Watering in progress, supplying water to plants at the root zone",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S05,,AG-03,UA-03-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S05 (base),EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Main explanation visual for the operation.
T04-VO-009,T04-ROW-008,Kaedah Pelaksanaan,The two implementation routes the source names — manual watering beside automatic irrigation,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,COVERED_BY_COMPOSITE_ASSET_GROUP,T04-S06,,AG-03,,COMPOSITE,NOT_YET_ASSESSED,T04-S06 (base),COMPARISON_VISUAL,COMPARISON_VISUAL,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"'Kaedah Pelaksanaan' has no subject beyond the methods it groups. The composite IS the two method visuals shown together, so it consumes no additional asset. The heading still receives a visual — the composite."
T04-VO-010,T04-ROW-009;T04-ROW-010,Penyiraman Manual,A rubber hose with a spray nozzle in use,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S06,ST-01,AG-03,UA-03-02,INDIVIDUAL,NOT_YET_ASSESSED,T04-S06/ST-01,EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Hose and spray nozzle — the equipment the source names.
