unit_id,topik,bahagian,topik_title,lesson_title,subtopics,module_page_range,pdf_page_range,start_anchor,end_before,docx_para_start,docx_para_end_before,shared_start,shared_end,boundary_note,status
K5-PL06-T01-B01,1,1,Proses Memula Kerja,Proses Memula Kerja - Penyediaan Tapak,1.1 Penyediaan Tapak,162-181,180-199,1.0 PROSES MEMULA KERJA,1.2 Jadual Kerja,3375,3743,False,True,end page 181 is shared with next lesson; stop before named end anchor,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T01-B02,1,2,Proses Memula Kerja,Jadual Kerja dan Perlaksanaan Pembinaan Landskap,1.2 Jadual Kerja + 1.3 Perlaksanaan Pembinaan Landskap,181-188,199-206,1.2 Jadual Kerja,1.4 Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap,3743,3887,True,True,start page 181 is shared with preceding lesson; start at named heading; end page 188 is shared with next lesson; stop before named end anchor,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T01-B03,1,3,Proses Memula Kerja,Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap,1.4 Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap,188-200,206-218,1.4 Sumber-Sumber yang Diperlukan Untuk Memulakan Projek Landskap,2.0 ELEMEN PEMBINAAN LANDSKAP,3887,4085,True,False,start page 188 is shared with preceding lesson; start at named heading,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T02-B01,2,1,Elemen Pembinaan Landskap,Elemen Landskap Kejur dan Elemen Landskap Lembut/Penanaman,2.1 Elemen Landskap Kejur + 2.2 Elemen Landskap Lembut/ Penanaman,201-215,219-233,2.0 ELEMEN PEMBINAAN LANDSKAP,2.3 Kerja-Kerja berkaitan dengan Mekanikal & Elektrikal (M&E),4085,4340,False,True,end page 215 is shared with next lesson; stop before named end anchor,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T02-B02,2,2,Elemen Pembinaan Landskap,Kerja-Kerja Berkaitan dengan Mekanikal & Elektrikal (M&E),2.3 Kerja-Kerja berkaitan dengan Mekanikal & Elektrikal (M&E),215-225,233-243,2.3 Kerja-Kerja berkaitan dengan Mekanikal & Elektrikal (M&E),3.0 KOMPONEN LANDSKAP,4340,4463,True,False,start page 215 is shared with preceding lesson; start at named heading,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T03-B01,3,1,Komponen Landskap,Kawasan Berturap dan Gelanggang Sukan & Permainan,3.1 Kawasan Berturap / Paved Areas + 3.2 Gelanggang Sukan & Permainan,226-237,244-255,3.0 KOMPONEN LANDSKAP,3.3 Struktur Taman,4463,4631,False,True,end page 237 is shared with next lesson; stop before named end anchor,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T03-B02,3,2,Komponen Landskap,Struktur Taman dan Perabot Taman,3.3 Struktur Taman + 3.4 Perabot Taman,237-250,255-268,3.3 Struktur Taman,3.5 Infrastruktur,4631,4704,True,True,start page 237 is shared with preceding lesson; start at named heading; end page 250 is shared with next lesson; stop before named end anchor,COMPLETED_BARIAH_APPROVED
K5-PL06-T03-B03,3,3,Komponen Landskap,Infrastruktur,3.5 Infrastruktur,250-255,268-273,3.5 Infrastruktur,3.6 Badan Air (Water Body),4704,4815,True,True,start page 250 is shared with preceding lesson; start at named heading; end page 255 is shared with next lesson; stop before named end anchor,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T03-B04,3,4,Komponen Landskap,Badan Air (Water Body),3.6 Badan Air (Water Body),255-261,273-279,3.6 Badan Air (Water Body),3.7 Pencahayaan / Lighting,4815,4951,True,False,start page 255 is shared with preceding lesson; start at named heading,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T03-B05,3,5,Komponen Landskap,Pencahayaan dan Pengairan,3.7 Pencahayaan / Lighting + 3.8 Pengairan (Irrigation),262-275,280-293,3.7 Pencahayaan / Lighting,4.0 PENJAAGAAN DAN PENYELENGGARAAN,4951,5220,False,False,page boundary is clean,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
K5-PL06-T04-B01,4,1,Penjagaan dan Penyelenggaraan,Penjagaan dan Penyelenggaraan,4.1 Landskap Lembut + 4.2 Landskap Kejur,276-283,294-301,4.0 PENJAAGAAN DAN PENYELENGGARAAN (body typo; canonical title from TOC),5.0 PENGURUSAN KUALITI PROJEK,5220,5360,False,False,page boundary is clean,PREFERRED_FIRST_SCALE_OUT_PROOF
K5-PL06-T05-B01,5,1,Pengurusan Kualiti Projek,Pengurusan Kualiti Projek,5.1 Project Quality Plan (PQP) + 5.2 Jaminan Kualiti + 5.3 Inspection and Testing for Quality Control + 5.4 Penyata Kaedah Kerja,284-293,302-311,5.0 PENGURUSAN KUALITI PROJEK,6.0 PERLINDUNGAN DAN PENAMBAHBAIKAN ALAM SEKITAR,5360,5543,False,False,page boundary is clean,SOURCE_BOUNDARY_CONFIRMED_PENDING_BUILD
