obligation_id,proposed_asset_group_id,unique_asset_candidate_id,composite_or_individual,reuse_allowed,screens_or_states_served,production_status,bariah_approval_requirement
T04-VO-001,AG-01,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-01 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-002,AG-01,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-01 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-003,AG-01,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-01 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-004,AG-01,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-01 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-005,AG-01,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-01 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-006,AG-01,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-01 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-007,AG-02,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-008,AG-03,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-009,AG-03,NOT_YET_ASSIGNED,COMPOSITE_CANDIDATE — the source presents the methods as a set,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-010,AG-03,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-011,AG-03,NOT_YET_ASSIGNED,"COMPOSITE_CANDIDATE — sprinkler against drip, one frame",NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-012,AG-03,NOT_YET_ASSIGNED,NOT_APPLICABLE — no subject proposed,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-013,AG-03,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-014,AG-03,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-015,AG-03,NOT_YET_ASSIGNED,COMPOSITE_CANDIDATE — both failure directions in one frame,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-016,AG-03,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-017,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-018,AG-04,NOT_YET_ASSIGNED,COMPOSITE_CANDIDATE — the source presents the methods as a set,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-019,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-020,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-021,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-022,AG-04,NOT_YET_ASSIGNED,NOT_APPLICABLE — no subject proposed,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-023,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-024,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-025,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,SIMILAR_SUBJECT_DO_NOT_REUSE,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-026,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,SIMILAR_SUBJECT_DO_NOT_REUSE,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-027,AG-04,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-028,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-029,AG-05,NOT_YET_ASSIGNED,COMPOSITE_CANDIDATE — the order is the teaching point,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-030,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-031,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-032,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-033,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-034,AG-05,NOT_YET_ASSIGNED,COMPOSITE_CANDIDATE — type paired with target,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-035,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-036,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-037,AG-05,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-02 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-038,AG-06,NOT_YET_ASSIGNED,NOT_APPLICABLE — no subject proposed,NOT_YET_ASSESSED,T04-SC-03 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-039,AG-06,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-03 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-040,AG-06,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,SIMILAR_SUBJECT_DO_NOT_REUSE,T04-SC-03 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
T04-VO-041,AG-06,NOT_YET_ASSIGNED,UNDETERMINED_PENDING_BARIAH,NOT_YET_ASSESSED,T04-SC-03 — state count not yet decided,NOT_STARTED,SUBJECT_AND_STYLE_APPROVAL_REQUIRED
