list_item_id,row_id,unit_id,sequence,num_id,level,marker_type,style,heading_path,module_page,raw_wording
T04-LI-001,T04-ROW-001,K5-PL06-T04-B01,1,236,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading1,PENJAAGAAN DAN PENYELENGGARAAN,276,PENJAAGAAN DAN PENYELENGGARAAN
T04-LI-002,T04-ROW-004,K5-PL06-T04-B01,4,236,1,ORDERED_OR_BULLET_PER_numbering.xml,Heading2,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut,276,Landskap Lembut
T04-LI-003,T04-ROW-006,K5-PL06-T04-B01,6,236,2,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Siram,276,Siram
T04-LI-004,T04-ROW-008,K5-PL06-T04-B01,8,437,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kaedah Pelaksanaan,277,Kaedah Pelaksanaan
T04-LI-005,T04-ROW-009,K5-PL06-T04-B01,9,438,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Penyiraman Manual,277,Penyiraman Manual
T04-LI-006,T04-ROW-011,K5-PL06-T04-B01,11,438,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Sistem Pengairan Automatik,277,Sistem Pengairan Automatik
T04-LI-007,T04-ROW-012,K5-PL06-T04-B01,12,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Sistem Pengairan Automatik,277,Sistem Semburan (Sprinkler System)
T04-LI-008,T04-ROW-014,K5-PL06-T04-B01,14,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Sistem Pengairan Automatik,277,Sistem Titis (Drip Irrigation System)
T04-LI-009,T04-ROW-016,K5-PL06-T04-B01,16,437,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Aspek Pengurusan untuk Kontraktor:,277,Aspek Pengurusan untuk Kontraktor:
T04-LI-010,T04-ROW-017,K5-PL06-T04-B01,17,439,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Jadual Penyiraman,277,Jadual Penyiraman
T04-LI-011,T04-ROW-018,K5-PL06-T04-B01,18,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Jadual Penyiraman,277,Membangunkan jadual kerja penyiraman yang sistematik. Amalan terbaik adalah menyiram pada awal pagi atau lewat petang untuk meminimumkan kehilangan air akibat penyejatan.
T04-LI-012,T04-ROW-019,K5-PL06-T04-B01,19,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Jadual Penyiraman,277,"Kekerapan dan kuantiti siraman mesti disesuaikan mengikut jenis tanaman, keadaan cuaca, dan peringkat tumbesaran. Tanaman baru memerlukan siraman lebih kerap."
T04-LI-013,T04-ROW-020,K5-PL06-T04-B01,20,439,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pengurusan Sumber Air,277,Pengurusan Sumber Air
T04-LI-014,T04-ROW-022,K5-PL06-T04-B01,22,439,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pemantauan & Pelaporan,278,Pemantauan & Pelaporan
T04-LI-015,T04-ROW-024,K5-PL06-T04-B01,24,439,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kecekapan Kos,278,Kecekapan Kos
T04-LI-016,T04-ROW-026,K5-PL06-T04-B01,26,236,2,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Baja,278,Baja
T04-LI-017,T04-ROW-028,K5-PL06-T04-B01,28,440,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kaedah Pelaksanaan,278,Kaedah Pelaksanaan
T04-LI-018,T04-ROW-029,K5-PL06-T04-B01,29,441,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pembajaan Tabur (Broadcasting),278,Pembajaan Tabur (Broadcasting)
T04-LI-019,T04-ROW-031,K5-PL06-T04-B01,31,441,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pembajaan Poket (Pocketing),278,Pembajaan Poket (Pocketing)
T04-LI-020,T04-ROW-033,K5-PL06-T04-B01,33,441,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Semburan Folia (Foliar Spray),278,Semburan Folia (Foliar Spray)
T04-LI-021,T04-ROW-035,K5-PL06-T04-B01,35,440,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Aspek Pengurusan untuk Kontraktor,278,Aspek Pengurusan untuk Kontraktor
T04-LI-022,T04-ROW-036,K5-PL06-T04-B01,36,442,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Program Pembajaan,278,Program Pembajaan
T04-LI-023,T04-ROW-038,K5-PL06-T04-B01,38,442,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pematuhan Spesifikasi,279,Pematuhan Spesifikasi
T04-LI-024,T04-ROW-040,K5-PL06-T04-B01,40,442,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pengurusan Stok dan Penyimpanan,279,Pengurusan Stok dan Penyimpanan
T04-LI-025,T04-ROW-042,K5-PL06-T04-B01,42,442,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Keselamatan Pekerja,279,Keselamatan Pekerja
T04-LI-026,T04-ROW-044,K5-PL06-T04-B01,44,442,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Dokumentasi,279,Dokumentasi
T04-LI-027,T04-ROW-046,K5-PL06-T04-B01,46,236,2,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Racun,279,Racun
T04-LI-028,T04-ROW-048,K5-PL06-T04-B01,48,443,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; IPM memberi keutamaan kepada:,280,IPM memberi keutamaan kepada:
T04-LI-029,T04-ROW-049,K5-PL06-T04-B01,49,444,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kawalan Kultur,280,Kawalan Kultur
T04-LI-030,T04-ROW-051,K5-PL06-T04-B01,51,444,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kawalan Fizikal,280,Kawalan Fizikal
T04-LI-031,T04-ROW-053,K5-PL06-T04-B01,53,444,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kawalan Biologi,280,Kawalan Biologi
T04-LI-032,T04-ROW-055,K5-PL06-T04-B01,55,444,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Kawalan Kimia,280,Kawalan Kimia
T04-LI-033,T04-ROW-057,K5-PL06-T04-B01,57,443,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Jenis Racun,280,Jenis Racun
T04-LI-034,T04-ROW-058,K5-PL06-T04-B01,58,446,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Racun Serangga (Insecticide),280,Racun Serangga (Insecticide)
T04-LI-035,T04-ROW-060,K5-PL06-T04-B01,60,446,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Racun Kulat (Fungicide),280,Racun Kulat (Fungicide)
T04-LI-036,T04-ROW-062,K5-PL06-T04-B01,62,446,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Racun Rumpai (Herbicide),280,Racun Rumpai (Herbicide)
T04-LI-037,T04-ROW-064,K5-PL06-T04-B01,64,443,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Aspek Pengurusan untuk Kontraktor:,280,Aspek Pengurusan untuk Kontraktor:
T04-LI-038,T04-ROW-065,K5-PL06-T04-B01,65,445,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Perundangan dan Pelesenan,280,Perundangan dan Pelesenan
T04-LI-039,T04-ROW-066,K5-PL06-T04-B01,66,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Perundangan dan Pelesenan,280,Penggunaan racun kimia dikawal oleh Akta Racun Makhluk Perosak 1974.
T04-LI-040,T04-ROW-067,K5-PL06-T04-B01,67,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Perundangan dan Pelesenan,280,Kontraktor mesti memastikan pekerja yang menjalankan semburan racun adalah pengendali racun berlesen atau sekurang-kurangnya telah menerima latihan dan di bawah seliaan pemegang lesen. Ini adalah satu kewajipan undang-undang.
T04-LI-041,T04-ROW-068,K5-PL06-T04-B01,68,445,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Keselamatan dan Kesihatan (HSE),280,Keselamatan dan Kesihatan (HSE)
T04-LI-042,T04-ROW-069,K5-PL06-T04-B01,69,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Keselamatan dan Kesihatan (HSE),280,PPE Lengkap
T04-LI-043,T04-ROW-071,K5-PL06-T04-B01,71,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Keselamatan dan Kesihatan (HSE),280,Penyimpanan & Pelupusan
T04-LI-044,T04-ROW-073,K5-PL06-T04-B01,73,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Keselamatan dan Kesihatan (HSE),280,Helaian Data Keselamatan (SDS)
T04-LI-045,T04-ROW-075,K5-PL06-T04-B01,75,445,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pengurusan Risiko,280,Pengurusan Risiko
T04-LI-046,T04-ROW-076,K5-PL06-T04-B01,76,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pengurusan Risiko,280,Semburan hanya boleh dilakukan semasa cuaca tenang (tidak berangin) untuk mengelakkan spray drift.
T04-LI-047,T04-ROW-077,K5-PL06-T04-B01,77,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pengurusan Risiko,280,Maklumkan kepada pihak pengurusan bangunan atau penduduk sekitar sebelum aktiviti semburan dijalankan. Letakkan papan tanda amaran di kawasan kerja.
T04-LI-048,T04-ROW-078,K5-PL06-T04-B01,78,480,0,ORDERED_OR_BULLET_PER_numbering.xml,ListParagraph,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Lembut; Pengurusan Risiko,280,"Pelaporan: Menyimpan rekod lengkap bagi setiap aktiviti semburan, termasuk: tarikh, lokasi, jenis racun, kadar bancuhan, nama pengendali, dan keadaan cuaca. Rekod ini amat penting untuk tujuan audit keselamatan dan liabiliti."
T04-LI-049,T04-ROW-079,K5-PL06-T04-B01,79,236,1,ORDERED_OR_BULLET_PER_numbering.xml,Heading2,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Kejur,280,Landskap Kejur
T04-LI-050,T04-ROW-081,K5-PL06-T04-B01,81,447,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Kejur; Pengurusan Ruang dan Sirkulasi,281,Pengurusan Ruang dan Sirkulasi
T04-LI-051,T04-ROW-082,K5-PL06-T04-B01,82,484,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Kejur; Membentuk Ruang,281,Membentuk Ruang
T04-LI-052,T04-ROW-084,K5-PL06-T04-B01,84,484,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Kejur; Laluan Pergerakan,281,Laluan Pergerakan
T04-LI-053,T04-ROW-086,K5-PL06-T04-B01,86,447,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Kejur; Fungsi Struktur dan Kejuruteraan,281,Fungsi Struktur dan Kejuruteraan
T04-LI-054,T04-ROW-087,K5-PL06-T04-B01,87,485,0,ORDERED_OR_BULLET_PER_numbering.xml,Heading3,PENJAAGAAN DAN PENYELENGGARAAN; Landskap Kejur; Menstabilkan Tanah,281,Menstabilkan Tanah
