course,pl,unit_id,source_binary_verified,source_authority_inherited,boundary_status,extraction_status,model_status,pattern_decision_dependency,storyboard_readiness,qa_readiness,bariah_review_dependency,blocker,next_executable_action
"K5","PL06","K5-PL06-T03-B03","True","SRC-AUTH-01","BOUNDARY_AMBER_RESOLVED_BY_ANCHOR","EXTRACTED","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","WAITING_PATTERN_DECISIONS","EXTRACTION_QA_PASSED","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — pattern package under review; STOP-006 cast binding open","project the provisional model into a storyboard model as soon as the pattern package returns"
"K5","PL06","K5-PL06-T03-B04","True","SRC-AUTH-01","BOUNDARY_AMBER_RESOLVED_BY_ANCHOR","EXTRACTED","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","WAITING_PATTERN_DECISIONS","EXTRACTION_QA_PASSED","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — pattern package under review; STOP-006 cast binding open","project the provisional model into a storyboard model as soon as the pattern package returns"
"K5","PL06","K5-PL06-T05-B01","True","SRC-AUTH-01","CLEAN_VERIFIED","EXTRACTED","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","WAITING_PATTERN_DECISIONS","EXTRACTION_QA_PASSED","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — pattern package under review; STOP-006 cast binding open","project the provisional model into a storyboard model as soon as the pattern package returns"
"K5","PL06","K5-PL06-T06-B01","True","SRC-AUTH-01","CLEAN_VERIFIED","EXTRACTED","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","WAITING_PATTERN_DECISIONS","EXTRACTION_QA_PASSED","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — pattern package under review; STOP-006 cast binding open","project the provisional model into a storyboard model as soon as the pattern package returns"
"K5","PL06","K5-PL06-T01-B01","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL06","K5-PL06-T01-B02","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL06","K5-PL06-T01-B03","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL06","K5-PL06-T02-B01","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL06","K5-PL06-T02-B02","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL06","K5-PL06-T03-B01","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
